data,pedido_id,cliente_id,produto,categoria,preco_unitario,quantidade,custo_unitario,forma_pagamento,estado
2024-02-02,REQ100552,CLI9833,Teclado Mecânico,Informática,3656.64,1,2423.95,Pix,RJ
2024-02-02,REQ100557,CLI4012,Cabo USB-C,Acessórios,134.91,1,90.99,Pix,AM
2024-02-02,REQ101866,CLI8001,Cadeira Ergonômica,Escritório,1313.92,2,688.80,Débito,RJ
2024-02-02,REQ102184,CLI3076,Cafeteira Elétrica,Casa,954.04,2,530.46,Crédito,MG
2024-02-02,REQ102935,CLI3972,Fone de Ouvido Bluetooth,Acessórios,234.15,3,147.26,Pix,RO
2024-02-03,REQ100002,CLI1505,Cabo USB-C,Acessórios,200.22,2,155.15,Crédito,MT
2024-02-03,REQ102301,CLI2761,Capa de Celular,Acessórios,133.48,5,85.68,Pix,PI
2024-02-03,REQ102723,CLI4590,Fritadeira Air Fryer,Casa,455.91,1,351.47,Crédito,AL
2024-02-03,REQ102962,CLI4693,Fone de Ouvido Bluetooth,Acessórios,42.73,3,22.10,Crédito,SE
2024-02-04,REQ101291,CLI6708,Teclado Mecânico,Informática,551.36,1,420.34,Pix,PI
2024-02-04,REQ102733,CLI9194,Fritadeira Air Fryer,Casa,989.58,1,549.56,Pix,PR
2024-02-05,REQ100305,CLI9315,Smartphone Galaxy S23,Eletrônicos,4767.47,2,3640.50,Boleto,DF
2024-02-05,REQ102872,CLI9159,Teclado Mecânico,Informática,1589.94,1,965.21,Boleto,MA
2024-02-06,REQ101091,CLI6631,Fone de Ouvido Bluetooth,Acessórios,137.99,5,87.60,Boleto,GO
2024-02-07,REQ100783,CLI9675,Suporte para Notebook,Escritório,229.29,1,135.46,Débito,PA
2024-02-07,REQ101143,CLI9453,Película de Vidro,Acessórios,60.99,2,36.94,Pix,SP
2024-02-07,REQ101897,CLI7030,Teclado Mecânico,Informática,2548.49,1,1975.64,Pix,BA
2024-02-08,REQ100767,CLI5278,Caneta Executiva,Escritório,431.14,1,314.27,Crédito,RJ
2024-02-08,REQ102137,CLI8959,iPhone 14,Eletrônicos,5354.25,1,3332.97,Débito,MT
2024-02-09,REQ101019,CLI5893,Capa de Celular,Acessórios,121.48,4,62.72,Pix,RS
2024-02-09,REQ102064,CLI6957,Tablet iPad Air,Eletrônicos,5208.92,1,3071.97,Crédito,TO
2024-02-10,REQ100685,CLI5780,Suporte para Notebook,Escritório,405.55,1,315.66,Crédito,AM
2024-02-10,REQ101461,CLI4457,Mouse Gamer,Informática,992.68,1,602.75,Crédito,PA
2024-02-11,REQ100676,CLI5890,Organizador de Mesa,Escritório,305.30,1,219.83,Pix,SE
2024-02-11,REQ101400,CLI7198,Tablet iPad Air,Eletrônicos,5566.85,1,3551.20,Pix,TO
2024-02-11,REQ102869,CLI1497,Cabo USB-C,Acessórios,249.68,5,133.98,Crédito,PA
2024-02-12,REQ100435,CLI6788,Organizador de Mesa,Escritório,1334.90,2,1040.13,Pix,AM
2024-02-12,REQ101229,CLI5980,Suporte para Notebook,Escritório,821.46,1,484.64,Crédito,CE
2024-02-12,REQ102424,CLI7323,"Monitor 27""",Informática,456.41,1,251.70,Crédito,PA
2024-02-12,REQ102775,CLI6835,Suporte para Notebook,Escritório,495.93,1,268.03,Crédito,RO
2024-02-13,REQ100153,CLI7040,Carregador Portátil,Acessórios,63.09,5,47.60,Crédito,AC
2024-02-13,REQ100706,CLI2337,Cafeteira Elétrica,Casa,414.38,1,278.35,Pix,RN
2024-02-13,REQ101972,CLI7799,Mesa de Centro,Casa,948.29,1,573.46,Pix,AL
2024-02-14,REQ100274,CLI8540,Teclado Mecânico,Informática,261.32,2,162.91,Crédito,SP
2024-02-14,REQ100901,CLI7029,Fone de Ouvido Bluetooth,Acessórios,26.52,3,14.92,Débito,AM
2024-02-14,REQ101364,CLI3198,Película de Vidro,Acessórios,103.90,5,71.22,Pix,PI
2024-02-14,REQ101683,CLI6854,Fritadeira Air Fryer,Casa,791.23,1,509.69,Pix,ES
2024-02-14,REQ102109,CLI4596,SSD 1TB,Informática,773.50,2,582.60,Crédito,SP
2024-02-14,REQ102153,CLI4780,Fone de Ouvido Bluetooth,Acessórios,69.38,5,50.28,Crédito,SC
2024-02-14,REQ102927,CLI4057,Fritadeira Air Fryer,Casa,1073.90,2,784.82,Pix,SC
2024-02-15,REQ100570,CLI1021,Mesa de Centro,Casa,1075.43,2,854.40,Crédito,GO
2024-02-15,REQ100973,CLI3663,iPhone 14,Eletrônicos,5602.91,2,3230.37,Pix,DF
2024-02-15,REQ101184,CLI6514,Mesa de Centro,Casa,256.45,2,175.99,Pix,RS
2024-02-15,REQ101531,CLI8814,Mesa de Centro,Casa,1049.63,2,769.39,Crédito,RO
2024-02-15,REQ102760,CLI4586,Cabo USB-C,Acessórios,53.86,4,36.08,Crédito,ES
2024-02-16,REQ100038,CLI7286,Fritadeira Air Fryer,Casa,265.62,2,158.34,Crédito,RN
2024-02-16,REQ100358,CLI4788,Fone de Ouvido Bluetooth,Acessórios,225.69,3,130.70,Crédito,AC
2024-02-16,REQ101303,CLI9369,Notebook Dell Inspiron,Informática,3111.60,2,1639.05,Boleto,RO
2024-02-16,REQ101790,CLI3110,Fone de Ouvido Bluetooth,Acessórios,123.86,1,69.96,Débito,AM
2024-02-16,REQ102680,CLI4489,Organizador de Mesa,Escritório,1231.76,1,797.56,Crédito,MS
2024-02-17,REQ100892,CLI2678,"Monitor 27""",Informática,2216.57,2,1689.17,Pix,RJ
2024-02-17,REQ101712,CLI1329,Película de Vidro,Acessórios,217.08,1,155.28,Crédito,BA
2024-02-18,REQ101340,CLI8770,Película de Vidro,Acessórios,227.14,3,158.83,Pix,BA
2024-02-18,REQ101428,CLI1849,"Smart TV 55""",Eletrônicos,5461.25,2,3064.95,Boleto,RJ
2024-02-18,REQ101647,CLI8080,Teclado Mecânico,Informática,1077.31,2,657.34,Crédito,TO
2024-02-18,REQ102797,CLI4431,Teclado Mecânico,Informática,3856.46,2,2795.70,Débito,PE
2024-02-18,REQ102980,CLI2554,Capa de Celular,Acessórios,94.93,5,53.68,Pix,TO
2024-02-19,REQ100644,CLI3915,Papel A4 500 fls,Escritório,451.24,1,316.09,Pix,SP
2024-02-19,REQ100816,CLI7341,iPhone 14,Eletrônicos,3274.51,1,2589.51,Pix,AC
2024-02-19,REQ101550,CLI9694,Película de Vidro,Acessórios,201.53,4,157.39,Pix,PE
2024-02-19,REQ101652,CLI9181,Fone de Ouvido Bluetooth,Acessórios,179.35,1,137.24,Boleto,RN
2024-02-19,REQ101906,CLI8860,Carregador Portátil,Acessórios,75.83,4,38.56,Crédito,ES
2024-02-19,REQ102352,CLI5664,Cafeteira Elétrica,Casa,1152.19,2,720.82,Crédito,AM
2024-02-19,REQ102981,CLI2859,Película de Vidro,Acessórios,133.59,1,69.90,Boleto,PI
2024-02-19,REQ102994,CLI8310,Notebook Dell Inspiron,Informática,2903.27,1,2251.86,Pix,AP
2024-02-20,REQ100047,CLI3768,iPhone 14,Eletrônicos,4419.49,2,3256.40,Pix,PE
2024-02-21,REQ100215,CLI3181,Console PlayStation 5,Eletrônicos,4398.76,2,3367.30,Pix,GO
2024-02-21,REQ100241,CLI8519,Organizador de Mesa,Escritório,198.78,1,100.87,Pix,DF
2024-02-21,REQ100814,CLI7635,SSD 1TB,Informática,1078.68,1,659.02,Débito,PA
2024-02-21,REQ101146,CLI5975,Suporte para Notebook,Escritório,1292.10,2,869.17,Pix,BA
2024-02-21,REQ102262,CLI9646,Carregador Portátil,Acessórios,182.53,3,99.25,Boleto,SP
2024-02-22,REQ100172,CLI4211,Capa de Celular,Acessórios,131.78,4,75.06,Pix,MG
2024-02-22,REQ101602,CLI3782,Fone de Ouvido Bluetooth,Acessórios,26.30,2,16.83,Pix,AC
2024-02-22,REQ101868,CLI3256,Capa de Celular,Acessórios,119.64,5,60.71,Pix,RS
2024-02-22,REQ102912,CLI2879,Película de Vidro,Acessórios,167.44,1,110.85,Pix,PA
2024-02-23,REQ100173,CLI4471,Organizador de Mesa,Escritório,346.11,1,240.11,Crédito,RS
2024-02-23,REQ101484,CLI3302,Carregador Portátil,Acessórios,113.48,1,78.77,Crédito,PB
2024-02-23,REQ101539,CLI5503,Cabo USB-C,Acessórios,239.07,1,180.09,Crédito,PR
2024-02-23,REQ101809,CLI8264,Película de Vidro,Acessórios,77.52,4,48.52,Pix,DF
2024-02-23,REQ101857,CLI8254,Carregador Portátil,Acessórios,182.51,3,127.74,Pix,RS
2024-02-23,REQ102324,CLI7497,Luminária LED,Casa,723.94,2,410.57,Pix,PE
2024-02-24,REQ101384,CLI1718,Organizador de Mesa,Escritório,990.30,2,536.58,Crédito,CE
2024-02-25,REQ100450,CLI5632,Carregador Portátil,Acessórios,94.29,3,67.66,Crédito,AP
2024-02-25,REQ102665,CLI3220,Cafeteira Elétrica,Casa,119.73,2,62.56,Crédito,CE
2024-02-27,REQ100104,CLI6252,Cadeira Ergonômica,Escritório,1157.06,1,740.37,Crédito,PA
2024-02-27,REQ100210,CLI8674,Luminária LED,Casa,484.37,2,368.29,Pix,RS
2024-02-27,REQ101158,CLI6500,Fone de Ouvido Bluetooth,Acessórios,174.49,2,104.49,Débito,SE
2024-02-27,REQ102699,CLI7806,SSD 1TB,Informática,1469.37,1,759.99,Crédito,RO
2024-02-27,REQ102954,CLI4350,SSD 1TB,Informática,2182.54,2,1344.67,Crédito,MT
2024-02-28,REQ101490,CLI8281,Jogo de Panelas,Casa,1160.15,1,628.60,Pix,RO
2024-02-28,REQ102546,CLI4031,"Monitor 27""",Informática,3495.06,1,2669.48,Crédito,RR
2024-02-29,REQ100313,CLI2754,Teclado Mecânico,Informática,933.41,1,497.55,Pix,AC
2024-02-29,REQ100946,CLI7166,Console PlayStation 5,Eletrônicos,5048.61,1,2718.33,Pix,AM
2024-02-29,REQ101246,CLI8489,Película de Vidro,Acessórios,145.93,4,77.92,Pix,AP
2024-02-29,REQ101836,CLI6298,Organizador de Mesa,Escritório,440.89,1,271.59,Pix,MS
2024-02-29,REQ102318,CLI1094,Cabo USB-C,Acessórios,163.54,2,97.88,Débito,PE
2024-02-29,REQ102698,CLI1148,Smartphone Galaxy S23,Eletrônicos,3229.92,1,1932.38,Pix,TO
2024-03-01,REQ101351,CLI9906,Papel A4 500 fls,Escritório,481.22,1,288.28,Pix,RO
2024-03-01,REQ101885,CLI2978,Carregador Portátil,Acessórios,36.33,1,20.96,Crédito,RR
2024-03-01,REQ102216,CLI9216,"Monitor 27""",Informática,1674.48,2,983.91,Crédito,PB
2024-03-02,REQ100387,CLI6743,"Monitor 27""",Informática,164.06,2,101.51,Pix,BA
2024-03-02,REQ100585,CLI9354,Capa de Celular,Acessórios,65.77,1,35.34,Pix,AL
2024-03-02,REQ101121,CLI1759,Mouse Gamer,Informática,4496.78,1,3378.43,Boleto,GO
2024-03-02,REQ101812,CLI8472,Notebook Dell Inspiron,Informática,217.04,2,160.30,Débito,AC
2024-03-02,REQ102619,CLI7494,Fritadeira Air Fryer,Casa,334.61,2,220.19,Crédito,SP
2024-03-03,REQ101071,CLI6734,Fone de Ouvido Bluetooth,Acessórios,74.57,3,51.06,Crédito,SC
2024-03-03,REQ101231,CLI2566,Cafeteira Elétrica,Casa,1072.03,1,811.77,Boleto,PI
2024-03-04,REQ100116,CLI2243,Notebook Dell Inspiron,Informática,1090.78,1,732.50,Pix,MA
2024-03-04,REQ101081,CLI5715,Fone de Ouvido Bluetooth,Acessórios,225.15,4,143.55,Pix,TO
2024-03-04,REQ101624,CLI6050,Papel A4 500 fls,Escritório,433.91,1,322.12,Pix,MG
2024-03-04,REQ102403,CLI9132,Fone de Ouvido Bluetooth,Acessórios,214.66,5,161.56,Pix,PA
2024-03-04,REQ102780,CLI2560,Película de Vidro,Acessórios,59.23,4,44.91,Crédito,TO
2024-03-05,REQ101996,CLI9707,Notebook Dell Inspiron,Informática,2930.58,2,1477.18,Débito,PA
2024-03-05,REQ102385,CLI7867,Tablet iPad Air,Eletrônicos,4473.55,2,2474.19,Pix,PR
2024-03-06,REQ100374,CLI5183,Smartphone Galaxy S23,Eletrônicos,4329.09,1,2252.96,Pix,CE
2024-03-06,REQ100379,CLI8412,Cadeira Ergonômica,Escritório,54.86,2,36.00,Pix,PR
2024-03-06,REQ101017,CLI2401,Mesa de Centro,Casa,144.02,2,114.37,Crédito,RO
2024-03-07,REQ101205,CLI1332,"Smart TV 55""",Eletrônicos,5213.76,1,3087.66,Pix,AM
2024-03-07,REQ102100,CLI6315,Fone de Ouvido Bluetooth,Acessórios,229.57,3,181.60,Pix,MA
2024-03-07,REQ102525,CLI5330,Película de Vidro,Acessórios,118.10,1,90.12,Pix,RS
2024-03-07,REQ102781,CLI7694,Cafeteira Elétrica,Casa,503.70,1,370.27,Crédito,ES
2024-03-08,REQ103000,CLI1792,"Smart TV 55""",Eletrônicos,6680.63,1,3645.11,Crédito,DF
2024-03-09,REQ100003,CLI5482,Capa de Celular,Acessórios,224.51,5,141.01,Crédito,RS
2024-03-09,REQ102292,CLI5838,Organizador de Mesa,Escritório,1492.21,1,1128.67,Crédito,SP
2024-03-09,REQ102416,CLI8900,Cadeira Ergonômica,Escritório,46.87,2,23.71,Crédito,ES
2024-03-09,REQ102659,CLI2578,Luminária LED,Casa,157.60,1,112.83,Crédito,MT
2024-03-10,REQ100452,CLI5217,Jogo de Panelas,Casa,863.87,2,658.70,Crédito,RO
2024-03-10,REQ101167,CLI7506,Mouse Gamer,Informática,2897.78,1,1717.19,Pix,PA
2024-03-10,REQ102466,CLI1460,Capa de Celular,Acessórios,189.33,1,113.49,Crédito,SP
2024-03-11,REQ101685,CLI8760,Luminária LED,Casa,678.97,2,543.16,Crédito,RN
2024-03-12,REQ102563,CLI7688,Mouse Gamer,Informática,4047.97,2,2168.26,Pix,AM
2024-03-12,REQ102625,CLI5191,Película de Vidro,Acessórios,65.05,3,42.29,Crédito,ES
2024-03-13,REQ101028,CLI4561,Fritadeira Air Fryer,Casa,1066.36,2,813.41,Crédito,SE
2024-03-13,REQ102451,CLI1226,Fone de Ouvido Bluetooth,Acessórios,170.19,3,121.00,Boleto,PR
2024-03-14,REQ100187,CLI2992,Cafeteira Elétrica,Casa,395.86,2,243.55,Crédito,GO
2024-03-14,REQ101208,CLI8732,Suporte para Notebook,Escritório,218.11,2,131.80,Pix,CE
2024-03-14,REQ101599,CLI4992,Cafeteira Elétrica,Casa,954.81,1,546.70,Crédito,MG
2024-03-14,REQ102016,CLI1689,Suporte para Notebook,Escritório,1115.52,1,799.37,Pix,DF
2024-03-14,REQ102730,CLI7632,Fone de Ouvido Bluetooth,Acessórios,178.65,4,115.61,Pix,MA
2024-03-14,REQ102799,CLI1445,Notebook Dell Inspiron,Informática,4436.37,2,3394.14,Pix,AC
2024-03-15,REQ100516,CLI3630,Notebook Dell Inspiron,Informática,4137.74,2,3083.77,Pix,RR
2024-03-15,REQ100752,CLI1439,Carregador Portátil,Acessórios,88.64,2,70.78,Boleto,RN
2024-03-15,REQ102743,CLI6830,Cabo USB-C,Acessórios,159.05,2,85.99,Pix,MA
2024-03-16,REQ100453,CLI7933,SSD 1TB,Informática,335.10,2,257.09,Boleto,RJ
2024-03-16,REQ100578,CLI7178,Papel A4 500 fls,Escritório,294.64,1,217.64,Pix,RJ
2024-03-17,REQ101422,CLI8064,Mesa de Centro,Casa,755.48,2,537.08,Pix,SC
2024-03-17,REQ102002,CLI9347,Cadeira Ergonômica,Escritório,911.54,1,572.34,Boleto,MT
2024-03-17,REQ102142,CLI4934,Tablet iPad Air,Eletrônicos,5929.60,1,3129.04,Crédito,BA
2024-03-18,REQ101200,CLI5216,Carregador Portátil,Acessórios,173.47,4,88.49,Boleto,SE
2024-03-18,REQ101960,CLI7999,Notebook Dell Inspiron,Informática,694.22,2,366.66,Crédito,PB
2024-03-18,REQ102182,CLI3346,Cabo USB-C,Acessórios,128.58,1,68.60,Boleto,RS
2024-03-18,REQ102678,CLI4478,Mouse Gamer,Informática,1050.39,1,702.66,Pix,AP
2024-03-18,REQ102789,CLI7624,Console PlayStation 5,Eletrônicos,4427.65,1,2683.23,Pix,TO
2024-03-20,REQ100304,CLI3250,Carregador Portátil,Acessórios,118.06,3,67.79,Débito,SE
2024-03-20,REQ100323,CLI9746,SSD 1TB,Informática,263.92,2,207.16,Crédito,PR
2024-03-20,REQ102248,CLI1328,Mouse Gamer,Informática,3354.41,1,2485.95,Crédito,RO
2024-03-21,REQ100941,CLI5705,Película de Vidro,Acessórios,125.63,5,82.77,Pix,PI
2024-03-21,REQ100995,CLI3072,Carregador Portátil,Acessórios,127.30,1,100.60,Crédito,AC
2024-03-21,REQ101497,CLI2122,Organizador de Mesa,Escritório,504.47,2,344.86,Crédito,AM
2024-03-21,REQ101650,CLI1484,Mesa de Centro,Casa,1181.56,1,866.78,Pix,MS
2024-03-21,REQ102116,CLI1572,Notebook Dell Inspiron,Informática,1149.66,2,769.17,Pix,GO
2024-03-22,REQ100595,CLI9937,Suporte para Notebook,Escritório,572.03,2,452.58,Crédito,BA
2024-03-22,REQ101641,CLI3143,SSD 1TB,Informática,3216.28,1,1744.68,Débito,TO
2024-03-23,REQ100226,CLI9288,Jogo de Panelas,Casa,429.63,1,277.40,Crédito,SP
2024-03-23,REQ100310,CLI6408,Papel A4 500 fls,Escritório,67.75,1,46.94,Pix,RN
2024-03-23,REQ101394,CLI1105,Mesa de Centro,Casa,518.11,1,385.01,Crédito,AP
2024-03-23,REQ102449,CLI2345,Jogo de Panelas,Casa,1153.77,2,741.51,Pix,RS
2024-03-23,REQ102689,CLI3670,Caneta Executiva,Escritório,1096.28,1,839.65,Pix,ES
2024-03-24,REQ101570,CLI2286,Notebook Dell Inspiron,Informática,3098.97,1,2127.10,Crédito,RN
2024-03-24,REQ102359,CLI4928,Película de Vidro,Acessórios,227.81,5,138.17,Pix,AM
2024-03-25,REQ101312,CLI2737,Cabo USB-C,Acessórios,68.26,1,48.84,Pix,PB
2024-03-25,REQ101855,CLI6325,Cafeteira Elétrica,Casa,679.98,2,380.48,Crédito,CE
2024-03-26,REQ100207,CLI1106,Jogo de Panelas,Casa,727.64,1,551.01,Pix,RS
2024-03-26,REQ100653,CLI7218,Notebook Dell Inspiron,Informática,357.49,2,209.74,Pix,RJ
2024-03-26,REQ101008,CLI5729,Cabo USB-C,Acessórios,124.85,1,87.68,Pix,GO
2024-03-26,REQ101568,CLI3500,Película de Vidro,Acessórios,189.96,5,128.77,Débito,AC
2024-03-26,REQ102265,CLI7997,Tablet iPad Air,Eletrônicos,4136.40,2,2752.19,Crédito,MA
2024-03-26,REQ102636,CLI1136,Jogo de Panelas,Casa,1019.42,2,674.53,Pix,AM
2024-03-27,REQ100017,CLI2673,Mesa de Centro,Casa,974.71,2,543.23,Pix,MA
2024-03-27,REQ100978,CLI6698,Cabo USB-C,Acessórios,125.94,5,92.74,Crédito,DF
2024-03-27,REQ101240,CLI9096,Suporte para Notebook,Escritório,1199.72,1,863.65,Pix,BA
2024-03-27,REQ101620,CLI5760,Papel A4 500 fls,Escritório,485.02,1,385.23,Crédito,AC
2024-03-27,REQ102099,CLI8550,Fritadeira Air Fryer,Casa,788.31,1,595.05,Pix,AP
2024-03-27,REQ102295,CLI1251,Fritadeira Air Fryer,Casa,881.12,1,698.36,Boleto,PB
2024-03-28,REQ101366,CLI5990,Papel A4 500 fls,Escritório,594.67,1,426.00,Crédito,CE
2024-03-28,REQ102572,CLI9068,Console PlayStation 5,Eletrônicos,6972.90,1,4865.96,Pix,RS
2024-03-28,REQ102620,CLI3017,Caneta Executiva,Escritório,183.81,2,143.34,Pix,AC
2024-03-28,REQ102913,CLI6530,Fritadeira Air Fryer,Casa,878.27,2,688.10,Crédito,MS
2024-03-29,REQ101079,CLI4019,Console PlayStation 5,Eletrônicos,5644.07,1,4371.88,Pix,RN
2024-03-30,REQ100073,CLI6564,SSD 1TB,Informática,875.52,2,564.41,Pix,GO
